ID,Star,Sum.Polarity,Avg.Polarity,Num.Verb,Num.Adjective,Num.Noun
tlsgk***,6,-2,-1.0,0,2,0
espeed0***,8,2,2.0,0,1,0
momo***,10,-4,-1.33,1,1,1
rnldu***,10,1,0.5,0,2,0
seongheun0***,8,0,0.0,0,1,1
sje9***,8,3,1.0,0,3,0
kji***,6,2,2.0,0,1,0
yun***,10,0,0.0,0,2,1
dltjdud4***,10,2,2.0,0,1,0
sm1***,6,-1,-1.0,0,1,0
mi1youn***,10,4,2.0,0,2,0
dicas***,10,2,2.0,0,1,0
god***,10,4,2.0,1,1,0
cn***,10,2,2.0,0,1,0
yellow***,10,4,2.0,0,2,0
bomul3***,10,2,2.0,0,1,0
gmfrs***,10,2,2.0,0,1,0
wldms2***,10,2,0.67,0,1,2
redblue0***,10,2,2.0,0,1,0
deepblu***,10,-2,-2.0,0,1,0
leesy***,8,2,2.0,0,1,0
buc03***,8,6,2.0,0,1,2
leesy***,8,2,2.0,0,0,1
dms9***,10,2,2.0,0,1,0
sey100***,6,1,0.5,1,1,0
leesy***,8,2,2.0,0,1,0
mki***,8,2,2.0,1,0,0
taof***,10,2,2.0,0,0,1
leesy***,8,2,2.0,0,0,1
chevi***,10,-1,-0.5,0,1,1
ehdgo***,8,4,2.0,0,2,0
liqueface***,10,4,2.0,0,2,0
tlsgusdk1***,10,2,2.0,0,0,1
lku***,8,2,2.0,0,1,0
sunmin***,10,5,1.67,0,2,1
yourso***,10,2,2.0,0,1,0
dnwldnjs***,6,2,2.0,0,1,0
c1ap***,8,0,0.0,0,1,1
tw0***,8,4,0.24,6,7,4
kdy***,8,2,2.0,0,1,0
seung2***,8,2,2.0,1,0,0
nun01***,10,3,1.5,0,2,0
nun01***,10,3,1.5,0,2,0
sunmin***,10,2,2.0,0,1,0
haem***,4,1,0.14,2,4,1
chlwlsd***,8,-1,-1.0,0,1,0
nun01***,10,2,2.0,0,1,0
jenny2***,10,-1,-1.0,0,1,0
tvfxq8***,10,2,2.0,0,1,0
nun01***,10,4,2.0,0,2,0
gytjddms***,10,2,2.0,0,1,0
jyj9***,10,0,0.0,0,2,0
tesi***,10,2,2.0,0,1,0
cwy3***,6,1,1.0,0,0,1
jg456***,10,2,2.0,0,1,0
sjm7***,10,2,2.0,0,1,0
mol***,2,0,0.0,1,4,1
sss***,10,-1,-1.0,0,1,0
wdt2***,10,2,2.0,0,1,0
cecili***,6,2,2.0,0,1,0
dena***,6,-1,-1.0,0,0,1
cwy3***,6,2,2.0,0,0,1
ogs03190***,10,2,2.0,0,1,0
tkfkd5***,10,3,1.5,0,1,1
ran***,10,2,2.0,0,1,0
jh8***,10,3,1.0,0,2,1
thebes***,8,2,2.0,0,0,1
fan***,8,0,0.0,0,2,0
bookworm1***,10,-1,-1.0,0,1,0
sunnyk***,8,2,2.0,0,1,0
kwaghj9***,2,-5,-1.67,0,3,0
bmg1***,6,-1,-1.0,0,1,0
minu***,10,4,2.0,0,2,0
dbwjd0***,10,2,2.0,0,1,0
e4j***,10,2,2.0,0,0,1
dpflf1***,10,2,2.0,0,0,1
sakura***,6,-2,-2.0,0,1,0
kgodgrace1***,10,1,1.0,0,1,0
minu***,10,2,2.0,0,1,0
bmg1***,6,2,2.0,0,1,0
dldmsdud4***,8,1,1.0,0,1,0
dpflf1***,10,2,2.0,0,1,0
vlossom***,10,2,2.0,1,0,0
elrpi***,6,-2,-2.0,0,1,0
jostar0***,6,3,1.0,0,3,0
pe***,10,2,2.0,0,1,0
gys***,8,1,1.0,0,1,0
hhj040***,8,-1,-1.0,0,0,1
ez1***,6,2,2.0,0,1,0
sunho***,4,-1,-0.2,1,2,2
linlin0***,10,2,2.0,1,0,0
vlossom***,10,2,2.0,0,0,1
choyebin***,10,2,2.0,0,1,0
brendal***,10,-1,-1.0,0,1,0
